soda_per_week,fast_food,monthly_earnings,homeowner,acc_produce,health_status,acc_produce_ALWAYS,acc_produce_NEVER,acc_produce_SOMETIMES,acc_produce_USUALLY,health_status_recode
0.0,0.0,3333.0,1,4,EXCELLENT,1,0,0,0,1
0.0,0.0,2500.0,1,4,VERY GOOD,1,0,0,0,1
5.0,2.0,1200.0,0,3,GOOD,0,0,0,1,2
0.0,2.0,2500.0,1,4,EXCELLENT,1,0,0,0,1
0.0,2.0,1500.0,1,4,VERY GOOD,1,0,0,0,1
0.0,1.0,7500.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,10000.0,1,4,EXCELLENT,1,0,0,0,1
2.0,1.0,1500.0,1,4,GOOD,1,0,0,0,2
7.0,1.0,5700.0,1,2,VERY GOOD,0,0,1,0,1
7.0,5.0,450.0,0,3,EXCELLENT,0,0,0,1,1
0.0,1.0,6000.0,1,4,EXCELLENT,1,0,0,0,1
1.0,14.0,1000.0,1,2,GOOD,0,0,1,0,2
1.0,1.0,3000.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,1200.0,1,4,EXCELLENT,1,0,0,0,1
0.0,3.0,10000.0,1,4,VERY GOOD,1,0,0,0,1
7.0,0.0,1000.0,0,4,FAIR,1,0,0,0,2
0.0,0.0,2900.0,1,4,FAIR,1,0,0,0,2
0.0,1.0,2500.0,1,4,VERY GOOD,1,0,0,0,1
0.0,1.0,2500.0,1,4,EXCELLENT,1,0,0,0,1
0.0,2.0,5000.0,1,4,GOOD,1,0,0,0,2
0.0,3.0,7000.0,1,4,EXCELLENT,1,0,0,0,1
0.0,2.0,4000.0,0,4,VERY GOOD,1,0,0,0,1
0.0,0.0,1000.0,0,4,FAIR,1,0,0,0,2
0.0,5.0,1100.0,1,3,GOOD,0,0,0,1,2
0.0,0.0,1500.0,1,4,GOOD,1,0,0,0,2
2.0,2.0,1600.0,0,3,GOOD,0,0,0,1,2
0.0,0.0,10000.0,1,4,FAIR,1,0,0,0,2
0.0,0.0,2000.0,0,1,GOOD,0,1,0,0,2
0.0,2.0,6000.0,1,4,GOOD,1,0,0,0,2
0.0,1.0,4750.0,1,4,GOOD,1,0,0,0,2
0.0,1.0,3000.0,1,4,VERY GOOD,1,0,0,0,1
7.0,0.0,5200.0,0,4,FAIR,1,0,0,0,2
0.0,0.0,2600.0,1,4,EXCELLENT,1,0,0,0,1
0.0,2.0,5000.0,1,4,FAIR,1,0,0,0,2
1.0,1.0,9000.0,1,3,GOOD,0,0,0,1,2
7.0,1.0,6000.0,1,4,GOOD,1,0,0,0,2
1.0,1.0,300.0,1,3,VERY GOOD,0,0,0,1,1
7.0,5.0,4000.0,1,4,GOOD,1,0,0,0,2
1.0,2.0,4500.0,1,4,EXCELLENT,1,0,0,0,1
0.0,0.0,1000.0,1,3,GOOD,0,0,0,1,2
0.0,3.0,1500.0,1,4,EXCELLENT,1,0,0,0,1
0.0,1.0,1100.0,1,1,VERY GOOD,0,1,0,0,1
0.0,0.0,1000.0,1,4,GOOD,1,0,0,0,2
0.0,0.0,650.0,1,3,VERY GOOD,0,0,0,1,1
0.0,1.0,1600.0,1,4,VERY GOOD,1,0,0,0,1
1.0,0.0,10000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,0.0,20000.0,1,4,VERY GOOD,1,0,0,0,1
3.0,2.0,1400.0,0,3,VERY GOOD,0,0,0,1,1
0.0,0.0,2000.0,1,4,FAIR,1,0,0,0,2
1.0,1.0,800.0,0,4,POOR,1,0,0,0,3
0.0,2.0,100.0,1,4,FAIR,1,0,0,0,2
1.0,1.0,2000.0,0,4,VERY GOOD,1,0,0,0,1
0.0,1.0,12000.0,1,4,FAIR,1,0,0,0,2
0.0,1.0,7000.0,1,4,VERY GOOD,1,0,0,0,1
0.0,1.0,1500.0,0,3,FAIR,0,0,0,1,2
